Date,Close,Silver_Close,VNI_Close,USD_VND_Rate,Hseng_Close,Nikkei_Close,Nikkei_Volume,Dax_Close,SP_Close,DJ_Close,DJ_Volume
2017-08-08,1262.6,16.389,791.57,22735.0,27854.91,19980.0,28140.0,12292.05,2474.9,22085.34,262000000.0
2017-08-09,1279.3,16.863,773.66,22729.5,27757.09,19730.0,82040.0,12154.0,2474.0,22048.7,277800000.0
2017-08-10,1290.1,17.065,773.43,22735.0,27444.0,19710.0,60190.0,12014.3,2438.2,21844.01,303310000.0
2017-08-11,1294.0,17.07,772.08,22727.5,26883.51,19395.0,67990.0,12014.06,2441.3,21858.32,237790000.0
2017-08-14,1290.4,17.122,776.17,22727.5,27250.23,19530.0,67990.0,12165.12,2465.8,21993.71,235030000.0
2017-08-15,1279.7,16.714,771.06,22727.5,27174.96,19740.0,57130.0,12177.04,2464.6,21998.99,269070000.0
2017-08-16,1282.9,16.94,773.57,22727.5,27409.07,19730.0,42860.0,12263.86,2468.1,22024.87,264920000.00000003
2017-08-17,1292.4,17.053,767.59,22728.5,27344.22,19680.0,36380.0,12203.46,2430.0,21750.73,311030000.0
2017-08-18,1291.6,17.0,768.97,22728.5,27047.57,19440.0,68690.0,12165.19,2425.6,21674.51,309070000.0
2017-08-21,1296.7,17.015,768.79,22727.5,27154.68,19360.0,69600.0,12065.99,2428.4,21703.75,277880000.0
2017-08-22,1291.0,16.982,761.26,22728.5,27401.67,19340.0,55040.0,12229.34,2452.5,21899.89,244980000.0
2017-08-23,1294.7,17.046,765.98,22735.0,27506.0,19420.0,57690.0,12174.3,2444.0,21812.09,234810000.0
2017-08-24,1292.0,16.963,769.77,22738.5,27518.6,19320.0,58540.0,12180.83,2439.0,21783.4,228480000.0
2017-08-25,1297.9,17.049,771.63,22732.5,27848.16,19450.0,53550.0,12167.94,2443.1,21813.67,217570000.0
2017-08-28,1315.3,17.441,777.26,22735.0,27863.29,19430.0,58580.0,12123.47,2444.2,21808.4,218740000.0
2017-08-29,1318.9,17.426,774.03,22737.5,27765.01,19380.0,79720.0,11945.88,2446.3,21865.37,227340000.0
2017-08-30,1314.1,17.503,778.65,22732.5,28094.61,19520.0,81580.0,12002.47,2457.6,21892.43,242840000.0
2017-08-31,1322.2,17.575,782.76,22727.5,27970.3,19690.0,80810.0,12055.84,2471.7,21948.1,376790000.0
2017-09-01,1330.4,17.816,788.73,22730.0,27953.16,19690.0,65319.99999999999,12142.64,2476.6,21987.56,256240000.0
2017-09-04,1344.5,17.941,793.55,22730.0,27740.26,19470.0,92510.0,12102.21,2465.5,21807.64,318760000.0
2017-09-06,1339.0,17.91,793.55,22725.0,27613.76,19340.0,140080.0,12214.54,2465.5,21807.64,318760000.0
2017-09-07,1350.3,18.116,796.72,22725.0,27522.92,19400.0,71630.0,12296.63,2465.1,21784.78,333810000.0
2017-09-08,1351.2,18.123,801.2,22726.0,27668.47,19140.0,77570.0,12303.98,2461.4,21797.79,289400000.0
2017-09-11,1335.7,17.902,797.47,22720.0,27955.13,19410.0,64550.0,12475.24,2488.1,22057.37,312770000.0
2017-09-12,1332.7,17.89,799.94,22725.0,27972.24,19630.0,57680.0,12524.77,2496.5,22118.86,364580000.0
2017-09-13,1328.0,17.867,802.78,22725.0,27894.08,19690.0,49730.0,12553.57,2498.4,22158.18,291890000.0
2017-09-14,1329.3,17.789,806.32,22725.0,27777.2,19690.0,57910.0,12540.45,2495.6,22203.48,297780000.0
2017-09-15,1325.2,17.701,805.82,22725.0,27807.59,19790.0,63690.0,12518.81,2500.2,22268.34,527539999.99999994
2017-09-18,1310.8,17.156,807.87,22725.0,28159.77,19993.0,78190.0,12559.39,2503.9,22331.35,302740000.0
2017-09-19,1310.6,17.279,805.93,22725.0,28051.41,20150.0,78190.0,12561.79,2506.7,22370.8,295570000.0
2017-09-20,1316.4,17.334,805.86,22727.5,28127.8,20140.0,54620.0,12569.17,2508.2,22412.59,334560000.0
2017-09-21,1294.8,17.018,803.93,22725.0,28110.33,20220.0,71900.0,12600.03,2500.6,22359.23,287390000.0
2017-09-22,1297.5,16.984,807.13,22725.0,27880.53,20180.0,76930.0,12592.35,2502.2,22349.59,297140000.0
2017-09-25,1311.5,17.147,805.58,22735.0,27500.34,20270.0,45250.0,12594.81,2496.7,22296.09,332430000.0
2017-09-26,1301.7,16.883,805.35,22730.0,27513.01,20150.0,55580.0,12605.2,2496.8,22284.32,285990000.0
2017-09-27,1287.8,16.827,803.77,22730.0,27642.43,20320.0,53390.0,12657.41,2507.0,22340.71,342900000.0
2017-09-28,1288.7,16.847,804.82,22725.0,27421.6,20390.0,72530.0,12704.65,2510.1,22381.2,263010000.0
2017-09-29,1284.8,16.676,804.42,22730.0,27554.3,20360.0,60320.0,12828.86,2519.4,22405.09,274790000.0
2017-10-02,1275.8,16.654,802.23,22727.5,28173.21,20410.0,41140.0,12902.65,2529.1,22557.6,268530000.0
2017-10-03,1274.6,16.65,798.0,22725.0,28173.21,20600.0,69350.0,12970.52,2534.6,22641.67,238830000.0
2017-10-04,1276.8,16.624,805.66,22725.0,28379.18,20630.0,66500.0,12970.52,2537.7,22661.64,235730000.0
2017-10-05,1273.2,16.638,805.23,22725.0,28458.04,20640.0,45780.0,12968.05,2552.1,22775.39,246400000.0
2017-10-06,1274.9,16.79,807.8,22725.0,28458.04,20710.0,43210.0,12955.94,2549.3,22773.67,221450000.0
