Date,Dax_Close,Dax_Volume,Dax_Change
5/10/2017,"12,968.05",80.96M,-0.02%
4/10/2017,"12,970.52",118.79M,0.53%
2/10/2017,"12,902.65",74.92M,0.58%
29/09/2017,"12,828.86",108.15M,0.98%
28/09/2017,"12,704.65",87.58M,0.37%
27/09/2017,"12,657.41",82.22M,0.41%
26/09/2017,"12,605.20",75.45M,0.08%
25/09/2017,"12,594.81",81.07M,0.02%
22/09/2017,"12,592.35",78.84M,-0.06%
21/09/2017,"12,600.03",103.93M,0.25%
20/09/2017,"12,569.17",104.83M,0.06%
19/09/2017,"12,561.79",76.52M,0.02%
18/09/2017,"12,559.39",60.15M,0.32%
15/09/2017,"12,518.81",197.94M,-0.17%
14/09/2017,"12,540.45",85.61M,-0.10%
13/09/2017,"12,553.57",82.36M,0.23%
12/9/2017,"12,524.77",87.72M,0.40%
11/9/2017,"12,475.24",79.20M,1.39%
8/9/2017,"12,303.98",63.29M,0.06%
7/9/2017,"12,296.63",96.60M,0.67%
6/9/2017,"12,214.54",85.60M,0.75%
5/9/2017,"12,123.71",67.68M,0.18%
4/9/2017,"12,102.21",45.05M,-0.33%
1/9/2017,"12,142.64",75.81M,0.72%
31/08/2017,"12,055.84",80.72M,0.44%
30/08/2017,"12,002.47",59.03M,0.47%
29/08/2017,"11,945.88",100.90M,-1.46%
28/08/2017,"12,123.47",35.88M,-0.37%
25/08/2017,"12,167.94",59.30M,-0.11%
24/08/2017,"12,180.83",64.80M,0.05%
23/08/2017,"12,174.30",65.94M,-0.45%
22/08/2017,"12,229.34",68.61M,1.35%
21/08/2017,"12,065.99",72.15M,-0.82%
18/08/2017,"12,165.19",90.54M,-0.31%
17/08/2017,"12,203.46",76.45M,-0.49%
16/08/2017,"12,263.86",66.67M,0.71%
15/08/2017,"12,177.04",62.18M,0.10%
14/08/2017,"12,165.12",80.12M,1.26%
11/8/2017,"12,014.06",93.89M,0.00%
10/8/2017,"12,014.30",97.86M,-1.15%
9/8/2017,"12,154.00",118.23M,-1.12%
8/8/2017,"12,292.05",71.15M,0.28%
7/8/2017,"12,257.17",68.06M,-0.33%
4/8/2017,"12,297.72",98.57M,1.18%
3/8/2017,"12,154.72",81.42M,-0.22%
2/8/2017,"12,181.48",88.39M,-0.57%
